"label","n","parent","id"
"Chile",57,"Thriller","Thriller  -  Chile"
"Chile",5,"War","War  -  Chile"
"Colombia",159,"Action","Action  -  Colombia"
"Colombia",2,"Adult","Adult  -  Colombia"
"Colombia",115,"Adventure","Adventure  -  Colombia"
"Colombia",61,"Animation","Animation  -  Colombia"
"Colombia",3,"Biography","Biography  -  Colombia"
"Colombia",192,"Comedy","Comedy  -  Colombia"
"Colombia",108,"Crime","Crime  -  Colombia"
"Colombia",30,"Documentary","Documentary  -  Colombia"
"Colombia",282,"Drama","Drama  -  Colombia"
"Colombia",20,"Family","Family  -  Colombia"
"Colombia",28,"Fantasy","Fantasy  -  Colombia"
"Colombia",2,"Film Noir","Film Noir  -  Colombia"
"Colombia",3,"History","History  -  Colombia"
"Colombia",35,"Horror","Horror  -  Colombia"
"Colombia",15,"Music","Music  -  Colombia"
"Colombia",5,"Musical","Musical  -  Colombia"
"Colombia",50,"Mystery","Mystery  -  Colombia"
"Colombia",3,"Reality TV","Reality TV  -  Colombia"
"Colombia",108,"Romance","Romance  -  Colombia"
"Colombia",21,"Sci Fi","Sci Fi  -  Colombia"
"Colombia",2,"Short","Short  -  Colombia"
"Colombia",5,"Sport","Sport  -  Colombia"
"Colombia",7,"Talk Show","Talk Show  -  Colombia"
"Colombia",76,"Thriller","Thriller  -  Colombia"
"Colombia",3,"War","War  -  Colombia"
"Costa Rica",134,"Action","Action  -  Costa Rica"
"Costa Rica",3,"Adult","Adult  -  Costa Rica"
"Costa Rica",106,"Adventure","Adventure  -  Costa Rica"
"Costa Rica",61,"Animation","Animation  -  Costa Rica"
"Costa Rica",4,"Biography","Biography  -  Costa Rica"
"Costa Rica",200,"Comedy","Comedy  -  Costa Rica"
"Costa Rica",93,"Crime","Crime  -  Costa Rica"
"Costa Rica",15,"Documentary","Documentary  -  Costa Rica"
"Costa Rica",318,"Drama","Drama  -  Costa Rica"
"Costa Rica",22,"Family","Family  -  Costa Rica"
"Costa Rica",24,"Fantasy","Fantasy  -  Costa Rica"
"Costa Rica",3,"Film Noir","Film Noir  -  Costa Rica"
"Costa Rica",1,"Game Show","Game Show  -  Costa Rica"
"Costa Rica",2,"History","History  -  Costa Rica"
"Costa Rica",35,"Horror","Horror  -  Costa Rica"
"Costa Rica",31,"Music","Music  -  Costa Rica"
"Costa Rica",1,"Musical","Musical  -  Costa Rica"
"Costa Rica",47,"Mystery","Mystery  -  Costa Rica"
"Costa Rica",4,"Reality TV","Reality TV  -  Costa Rica"
"Costa Rica",128,"Romance","Romance  -  Costa Rica"
"Costa Rica",21,"Sci Fi","Sci Fi  -  Costa Rica"
"Costa Rica",1,"Short","Short  -  Costa Rica"
"Costa Rica",8,"Sport","Sport  -  Costa Rica"
"Costa Rica",7,"Talk Show","Talk Show  -  Costa Rica"
"Costa Rica",70,"Thriller","Thriller  -  Costa Rica"
"Costa Rica",3,"War","War  -  Costa Rica"
"Croatia",178,"Action","Action  -  Croatia"
"Croatia",3,"Adult","Adult  -  Croatia"
"Croatia",118,"Adventure","Adventure  -  Croatia"
"Croatia",54,"Animation","Animation  -  Croatia"
"Croatia",8,"Biography","Biography  -  Croatia"
"Croatia",205,"Comedy","Comedy  -  Croatia"
"Croatia",124,"Crime","Crime  -  Croatia"
"Croatia",25,"Documentary","Documentary  -  Croatia"
"Croatia",286,"Drama","Drama  -  Croatia"
"Croatia",26,"Family","Family  -  Croatia"
"Croatia",31,"Fantasy","Fantasy  -  Croatia"
"Croatia",5,"Film Noir","Film Noir  -  Croatia"
"Croatia",10,"Game Show","Game Show  -  Croatia"
"Croatia",5,"History","History  -  Croatia"
"Croatia",29,"Horror","Horror  -  Croatia"
"Croatia",3,"Music","Music  -  Croatia"
"Croatia",1,"Musical","Musical  -  Croatia"
"Croatia",51,"Mystery","Mystery  -  Croatia"
"Croatia",14,"Reality TV","Reality TV  -  Croatia"
"Croatia",91,"Romance","Romance  -  Croatia"
"Croatia",15,"Sci Fi","Sci Fi  -  Croatia"
"Croatia",13,"Sport","Sport  -  Croatia"
"Croatia",12,"Talk Show","Talk Show  -  Croatia"
"Croatia",57,"Thriller","Thriller  -  Croatia"
"Croatia",4,"War","War  -  Croatia"
"Croatia",2,"Western","Western  -  Croatia"
"Cyprus",210,"Action","Action  -  Cyprus"
"Cyprus",2,"Adult","Adult  -  Cyprus"
"Cyprus",138,"Adventure","Adventure  -  Cyprus"
"Cyprus",52,"Animation","Animation  -  Cyprus"
"Cyprus",7,"Biography","Biography  -  Cyprus"
"Cyprus",190,"Comedy","Comedy  -  Cyprus"
"Cyprus",126,"Crime","Crime  -  Cyprus"
"Cyprus",16,"Documentary","Documentary  -  Cyprus"
"Cyprus",328,"Drama","Drama  -  Cyprus"
"Cyprus",32,"Family","Family  -  Cyprus"
"Cyprus",34,"Fantasy","Fantasy  -  Cyprus"
"Cyprus",3,"Film Noir","Film Noir  -  Cyprus"
"Cyprus",8,"Game Show","Game Show  -  Cyprus"
"Cyprus",4,"History","History  -  Cyprus"
"Cyprus",26,"Horror","Horror  -  Cyprus"
"Cyprus",2,"Music","Music  -  Cyprus"
"Cyprus",52,"Mystery","Mystery  -  Cyprus"
