"parents","n","labels","id"
"Bolivia",46,"Mystery","Bolivia  -  Mystery"
"Bolivia",3,"Reality TV","Bolivia  -  Reality TV"
"Bolivia",106,"Romance","Bolivia  -  Romance"
"Bolivia",27,"Sci Fi","Bolivia  -  Sci Fi"
"Bolivia",2,"Short","Bolivia  -  Short"
"Bolivia",5,"Sport","Bolivia  -  Sport"
"Bolivia",6,"Talk Show","Bolivia  -  Talk Show"
"Bolivia",52,"Thriller","Bolivia  -  Thriller"
"Bolivia",3,"War","Bolivia  -  War"
"Brazil",169,"Action","Brazil  -  Action"
"Brazil",4,"Adult","Brazil  -  Adult"
"Brazil",194,"Adventure","Brazil  -  Adventure"
"Brazil",72,"Animation","Brazil  -  Animation"
"Brazil",6,"Biography","Brazil  -  Biography"
"Brazil",172,"Comedy","Brazil  -  Comedy"
"Brazil",112,"Crime","Brazil  -  Crime"
"Brazil",17,"Documentary","Brazil  -  Documentary"
"Brazil",255,"Drama","Brazil  -  Drama"
"Brazil",77,"Family","Brazil  -  Family"
"Brazil",29,"Fantasy","Brazil  -  Fantasy"
"Brazil",3,"Film Noir","Brazil  -  Film Noir"
"Brazil",4,"Game Show","Brazil  -  Game Show"
"Brazil",3,"History","Brazil  -  History"
"Brazil",35,"Horror","Brazil  -  Horror"
"Brazil",40,"Music","Brazil  -  Music"
"Brazil",23,"Musical","Brazil  -  Musical"
"Brazil",54,"Mystery","Brazil  -  Mystery"
"Brazil",11,"Reality TV","Brazil  -  Reality TV"
"Brazil",117,"Romance","Brazil  -  Romance"
"Brazil",23,"Sci Fi","Brazil  -  Sci Fi"
"Brazil",2,"Short","Brazil  -  Short"
"Brazil",5,"Sport","Brazil  -  Sport"
"Brazil",6,"Talk Show","Brazil  -  Talk Show"
"Brazil",66,"Thriller","Brazil  -  Thriller"
"Brazil",3,"War","Brazil  -  War"
"Bulgaria",223,"Action","Bulgaria  -  Action"
"Bulgaria",3,"Adult","Bulgaria  -  Adult"
"Bulgaria",133,"Adventure","Bulgaria  -  Adventure"
"Bulgaria",52,"Animation","Bulgaria  -  Animation"
"Bulgaria",10,"Biography","Bulgaria  -  Biography"
"Bulgaria",178,"Comedy","Bulgaria  -  Comedy"
"Bulgaria",119,"Crime","Bulgaria  -  Crime"
"Bulgaria",26,"Documentary","Bulgaria  -  Documentary"
"Bulgaria",303,"Drama","Bulgaria  -  Drama"
"Bulgaria",26,"Family","Bulgaria  -  Family"
"Bulgaria",42,"Fantasy","Bulgaria  -  Fantasy"
"Bulgaria",4,"Film Noir","Bulgaria  -  Film Noir"
"Bulgaria",10,"Game Show","Bulgaria  -  Game Show"
"Bulgaria",5,"History","Bulgaria  -  History"
"Bulgaria",31,"Horror","Bulgaria  -  Horror"
"Bulgaria",2,"Music","Bulgaria  -  Music"
"Bulgaria",49,"Mystery","Bulgaria  -  Mystery"
"Bulgaria",15,"Reality TV","Bulgaria  -  Reality TV"
"Bulgaria",98,"Romance","Bulgaria  -  Romance"
"Bulgaria",43,"Sci Fi","Bulgaria  -  Sci Fi"
"Bulgaria",10,"Sport","Bulgaria  -  Sport"
"Bulgaria",11,"Talk Show","Bulgaria  -  Talk Show"
"Bulgaria",55,"Thriller","Bulgaria  -  Thriller"
"Bulgaria",3,"War","Bulgaria  -  War"
"Bulgaria",2,"Western","Bulgaria  -  Western"
"Canada",167,"Action","Canada  -  Action"
"Canada",3,"Adult","Canada  -  Adult"
"Canada",110,"Adventure","Canada  -  Adventure"
"Canada",55,"Animation","Canada  -  Animation"
"Canada",21,"Biography","Canada  -  Biography"
"Canada",168,"Comedy","Canada  -  Comedy"
"Canada",135,"Crime","Canada  -  Crime"
"Canada",25,"Documentary","Canada  -  Documentary"
"Canada",273,"Drama","Canada  -  Drama"
"Canada",15,"Family","Canada  -  Family"
"Canada",29,"Fantasy","Canada  -  Fantasy"
"Canada",4,"Film Noir","Canada  -  Film Noir"
"Canada",11,"Game Show","Canada  -  Game Show"
"Canada",7,"History","Canada  -  History"
"Canada",36,"Horror","Canada  -  Horror"
"Canada",2,"Music","Canada  -  Music"
"Canada",1,"Musical","Canada  -  Musical"
"Canada",67,"Mystery","Canada  -  Mystery"
"Canada",27,"Reality TV","Canada  -  Reality TV"
"Canada",71,"Romance","Canada  -  Romance"
"Canada",36,"Sci Fi","Canada  -  Sci Fi"
"Canada",7,"Sport","Canada  -  Sport"
"Canada",9,"Talk Show","Canada  -  Talk Show"
"Canada",68,"Thriller","Canada  -  Thriller"
"Canada",5,"War","Canada  -  War"
"Chile",144,"Action","Chile  -  Action"
"Chile",4,"Adult","Chile  -  Adult"
"Chile",125,"Adventure","Chile  -  Adventure"
"Chile",74,"Animation","Chile  -  Animation"
"Chile",3,"Biography","Chile  -  Biography"
"Chile",195,"Comedy","Chile  -  Comedy"
"Chile",97,"Crime","Chile  -  Crime"
"Chile",13,"Documentary","Chile  -  Documentary"
"Chile",325,"Drama","Chile  -  Drama"
"Chile",20,"Family","Chile  -  Family"
"Chile",24,"Fantasy","Chile  -  Fantasy"
"Chile",3,"Film Noir","Chile  -  Film Noir"
"Chile",5,"History","Chile  -  History"
"Chile",34,"Horror","Chile  -  Horror"
"Chile",34,"Music","Chile  -  Music"
"Chile",1,"Musical","Chile  -  Musical"
"Chile",47,"Mystery","Chile  -  Mystery"
"Chile",2,"Reality TV","Chile  -  Reality TV"
"Chile",118,"Romance","Chile  -  Romance"
"Chile",21,"Sci Fi","Chile  -  Sci Fi"
"Chile",1,"Short","Chile  -  Short"
"Chile",6,"Sport","Chile  -  Sport"
"Chile",9,"Talk Show","Chile  -  Talk Show"
"Chile",57,"Thriller","Chile  -  Thriller"
"Chile",5,"War","Chile  -  War"
"Colombia",159,"Action","Colombia  -  Action"
"Colombia",2,"Adult","Colombia  -  Adult"
"Colombia",115,"Adventure","Colombia  -  Adventure"
"Colombia",61,"Animation","Colombia  -  Animation"
"Colombia",3,"Biography","Colombia  -  Biography"
"Colombia",192,"Comedy","Colombia  -  Comedy"
"Colombia",108,"Crime","Colombia  -  Crime"
"Colombia",30,"Documentary","Colombia  -  Documentary"
"Colombia",282,"Drama","Colombia  -  Drama"
"Colombia",20,"Family","Colombia  -  Family"
"Colombia",28,"Fantasy","Colombia  -  Fantasy"
"Colombia",2,"Film Noir","Colombia  -  Film Noir"
"Colombia",3,"History","Colombia  -  History"
"Colombia",35,"Horror","Colombia  -  Horror"
"Colombia",15,"Music","Colombia  -  Music"
"Colombia",5,"Musical","Colombia  -  Musical"
"Colombia",50,"Mystery","Colombia  -  Mystery"
"Colombia",3,"Reality TV","Colombia  -  Reality TV"
"Colombia",108,"Romance","Colombia  -  Romance"
"Colombia",21,"Sci Fi","Colombia  -  Sci Fi"
"Colombia",2,"Short","Colombia  -  Short"
"Colombia",5,"Sport","Colombia  -  Sport"
"Colombia",7,"Talk Show","Colombia  -  Talk Show"
"Colombia",76,"Thriller","Colombia  -  Thriller"
"Colombia",3,"War","Colombia  -  War"
"Costa Rica",134,"Action","Costa Rica  -  Action"
"Costa Rica",3,"Adult","Costa Rica  -  Adult"
"Costa Rica",106,"Adventure","Costa Rica  -  Adventure"
"Costa Rica",61,"Animation","Costa Rica  -  Animation"
"Costa Rica",4,"Biography","Costa Rica  -  Biography"
"Costa Rica",200,"Comedy","Costa Rica  -  Comedy"
"Costa Rica",93,"Crime","Costa Rica  -  Crime"
"Costa Rica",15,"Documentary","Costa Rica  -  Documentary"
"Costa Rica",318,"Drama","Costa Rica  -  Drama"
"Costa Rica",22,"Family","Costa Rica  -  Family"
"Costa Rica",24,"Fantasy","Costa Rica  -  Fantasy"
"Costa Rica",3,"Film Noir","Costa Rica  -  Film Noir"
"Costa Rica",1,"Game Show","Costa Rica  -  Game Show"
"Costa Rica",2,"History","Costa Rica  -  History"
"Costa Rica",35,"Horror","Costa Rica  -  Horror"
"Costa Rica",31,"Music","Costa Rica  -  Music"
"Costa Rica",1,"Musical","Costa Rica  -  Musical"
"Costa Rica",47,"Mystery","Costa Rica  -  Mystery"
"Costa Rica",4,"Reality TV","Costa Rica  -  Reality TV"
"Costa Rica",128,"Romance","Costa Rica  -  Romance"
"Costa Rica",21,"Sci Fi","Costa Rica  -  Sci Fi"
"Costa Rica",1,"Short","Costa Rica  -  Short"
"Costa Rica",8,"Sport","Costa Rica  -  Sport"
"Costa Rica",7,"Talk Show","Costa Rica  -  Talk Show"
"Costa Rica",70,"Thriller","Costa Rica  -  Thriller"
"Costa Rica",3,"War","Costa Rica  -  War"
"Croatia",178,"Action","Croatia  -  Action"
"Croatia",3,"Adult","Croatia  -  Adult"
"Croatia",118,"Adventure","Croatia  -  Adventure"
"Croatia",54,"Animation","Croatia  -  Animation"
"Croatia",8,"Biography","Croatia  -  Biography"
"Croatia",205,"Comedy","Croatia  -  Comedy"
"Croatia",124,"Crime","Croatia  -  Crime"
"Croatia",25,"Documentary","Croatia  -  Documentary"
"Croatia",286,"Drama","Croatia  -  Drama"
"Croatia",26,"Family","Croatia  -  Family"
"Croatia",31,"Fantasy","Croatia  -  Fantasy"
"Croatia",5,"Film Noir","Croatia  -  Film Noir"
"Croatia",10,"Game Show","Croatia  -  Game Show"
"Croatia",5,"History","Croatia  -  History"
"Croatia",29,"Horror","Croatia  -  Horror"
"Croatia",3,"Music","Croatia  -  Music"
"Croatia",1,"Musical","Croatia  -  Musical"
"Croatia",51,"Mystery","Croatia  -  Mystery"
"Croatia",14,"Reality TV","Croatia  -  Reality TV"
"Croatia",91,"Romance","Croatia  -  Romance"
"Croatia",15,"Sci Fi","Croatia  -  Sci Fi"
"Croatia",13,"Sport","Croatia  -  Sport"
