"id","n","label","parent"
"total  -  Comedy  -  Chile",195,"Chile","total  -  Comedy"
"total  -  Crime  -  Chile",97,"Chile","total  -  Crime"
"total  -  Drama  -  Chile",325,"Chile","total  -  Drama"
"total  -  Horror  -  Chile",34,"Chile","total  -  Horror"
"total  -  Music  -  Chile",34,"Chile","total  -  Music"
"total  -  Mystery  -  Chile",47,"Chile","total  -  Mystery"
"total  -  Romance  -  Chile",118,"Chile","total  -  Romance"
"total  -  Thriller  -  Chile",57,"Chile","total  -  Thriller"
"total  -  Action  -  Colombia",159,"Colombia","total  -  Action"
"total  -  Adventure  -  Colombia",115,"Colombia","total  -  Adventure"
"total  -  Animation  -  Colombia",61,"Colombia","total  -  Animation"
"total  -  Comedy  -  Colombia",192,"Colombia","total  -  Comedy"
"total  -  Crime  -  Colombia",108,"Colombia","total  -  Crime"
"total  -  Drama  -  Colombia",282,"Colombia","total  -  Drama"
"total  -  Horror  -  Colombia",35,"Colombia","total  -  Horror"
"total  -  Mystery  -  Colombia",50,"Colombia","total  -  Mystery"
"total  -  Romance  -  Colombia",108,"Colombia","total  -  Romance"
"total  -  Thriller  -  Colombia",76,"Colombia","total  -  Thriller"
"total  -  Action  -  Costa Rica",134,"Costa Rica","total  -  Action"
"total  -  Adventure  -  Costa Rica",106,"Costa Rica","total  -  Adventure"
"total  -  Animation  -  Costa Rica",61,"Costa Rica","total  -  Animation"
"total  -  Comedy  -  Costa Rica",200,"Costa Rica","total  -  Comedy"
"total  -  Crime  -  Costa Rica",93,"Costa Rica","total  -  Crime"
"total  -  Drama  -  Costa Rica",318,"Costa Rica","total  -  Drama"
"total  -  Horror  -  Costa Rica",35,"Costa Rica","total  -  Horror"
"total  -  Mystery  -  Costa Rica",47,"Costa Rica","total  -  Mystery"
"total  -  Romance  -  Costa Rica",128,"Costa Rica","total  -  Romance"
"total  -  Thriller  -  Costa Rica",70,"Costa Rica","total  -  Thriller"
"total  -  Action  -  Croatia",178,"Croatia","total  -  Action"
"total  -  Adventure  -  Croatia",118,"Croatia","total  -  Adventure"
"total  -  Animation  -  Croatia",54,"Croatia","total  -  Animation"
"total  -  Comedy  -  Croatia",205,"Croatia","total  -  Comedy"
"total  -  Crime  -  Croatia",124,"Croatia","total  -  Crime"
"total  -  Drama  -  Croatia",286,"Croatia","total  -  Drama"
"total  -  Fantasy  -  Croatia",31,"Croatia","total  -  Fantasy"
"total  -  Mystery  -  Croatia",51,"Croatia","total  -  Mystery"
"total  -  Romance  -  Croatia",91,"Croatia","total  -  Romance"
"total  -  Thriller  -  Croatia",57,"Croatia","total  -  Thriller"
"total  -  Action  -  Cyprus",210,"Cyprus","total  -  Action"
"total  -  Adventure  -  Cyprus",138,"Cyprus","total  -  Adventure"
"total  -  Animation  -  Cyprus",52,"Cyprus","total  -  Animation"
"total  -  Comedy  -  Cyprus",190,"Cyprus","total  -  Comedy"
"total  -  Crime  -  Cyprus",126,"Cyprus","total  -  Crime"
"total  -  Drama  -  Cyprus",328,"Cyprus","total  -  Drama"
"total  -  Mystery  -  Cyprus",52,"Cyprus","total  -  Mystery"
"total  -  Romance  -  Cyprus",89,"Cyprus","total  -  Romance"
"total  -  Sci Fi  -  Cyprus",45,"Cyprus","total  -  Sci Fi"
